iter	Passed	Remaining
480	609	658
481	611	656
482	612	655
483	613	654
484	615	653
485	616	651
486	617	650
487	618	649
488	619	647
489	620	645
490	621	644
491	622	642
492	623	640
493	624	639
494	625	638
495	626	636
496	627	634
497	629	634
498	630	633
499	631	631
500	632	629
501	633	628
502	634	626
503	635	624
504	636	623
505	637	622
506	637	620
507	638	618
508	640	617
509	641	616
510	643	615
511	644	614
512	645	612
513	646	611
514	647	609
515	648	607
516	648	606
517	649	604
518	650	602
519	651	601
520	652	599
521	652	597
522	653	596
523	655	595
524	657	594
525	659	594
526	660	592
527	661	591
528	661	589
529	662	587
530	663	586
531	664	584
532	665	582
533	666	581
534	666	579
535	667	577
536	668	576
537	670	575
538	671	574
539	673	573
540	674	572
541	675	570
542	676	569
543	676	567
544	677	565
545	678	564
546	679	562
547	679	560
548	680	559
549	681	557
550	682	555
551	682	554
552	683	552
553	685	551
554	687	550
555	688	549
556	689	548
557	690	546
558	691	545
559	691	543
560	692	542
561	693	540
562	694	538
563	694	537
564	695	535
565	696	534
566	697	532
567	698	530
568	699	529
569	700	528
570	702	527
571	702	526
572	703	524
573	704	522
574	705	521
575	706	519
576	707	518
577	708	517
578	708	515
579	710	514
580	711	513
581	712	511
582	712	509
583	715	509
584	717	508
585	718	507
586	719	506
587	720	504
588	721	503
589	721	501
590	722	500
591	723	498
592	724	497
593	725	495
594	726	494
595	726	492
596	727	491
597	728	490
598	730	488
599	732	488
600	733	486
601	734	485
602	735	484
603	735	482
604	736	481
605	737	479
606	738	478
607	739	476
608	739	475
609	740	473
610	741	471
611	742	470
612	742	468
613	744	468
614	747	467
615	749	467
616	750	465
617	751	464
618	751	462
619	753	461
620	754	460
621	755	458
622	755	457
623	756	455
624	757	454
625	758	452
626	758	451
627	760	450
628	762	449
629	763	448
630	764	447
631	765	445
632	766	444
633	766	442
634	767	441
635	768	439
636	769	438
637	769	436
638	770	435
639	771	433
640	771	432
641	772	430
642	773	429
643	775	428
644	777	427
645	778	426
646	779	425
647	779	423
648	780	422
649	781	420
650	782	419
651	783	417
652	783	416
653	784	415
654	785	413
655	786	412
656	786	410
657	787	409
658	788	407
659	789	406
660	790	405
661	791	404
662	792	403
663	793	401
664	794	400
665	795	398
666	796	397
667	796	395
668	797	394
669	798	393
670	798	391
671	799	390
672	800	388
673	801	387
674	802	386
675	803	385
676	804	383
677	805	382
678	806	381
679	806	379
680	809	379
681	815	380
682	816	379
683	817	377
684	818	376
685	819	375
686	821	374
687	822	372
688	823	371
689	826	371
690	829	370
691	830	369
692	830	368
693	832	366
694	833	365
695	834	364
696	835	363
697	836	362
698	841	362
699	843	361
700	844	360
701	845	358
702	846	357
703	847	356
704	849	355
705	849	353
706	850	352
707	851	351
708	852	349
709	854	349
710	856	347
711	858	347
712	859	345
713	859	344
714	860	343
715	861	341
716	862	340
717	863	339
718	863	337
719	864	336
720	865	335
721	866	333
722	867	332
723	868	331
724	870	330
725	873	329
726	874	328
727	874	326
728	875	325
729	876	324
730	877	322
731	877	321
732	879	320
733	880	318
734	880	317
735	881	316
736	882	314
737	883	313
738	883	312
739	886	311
740	887	310
741	888	309
742	889	307
743	890	306
744	891	305
745	892	303
746	893	302
747	894	301
748	895	299
749	896	298
750	896	297
751	897	295
752	898	294
753	900	293
754	902	292
755	903	291
756	904	290
757	905	289
758	906	287
759	907	286
760	908	285
761	909	283
762	910	282
763	910	281
764	912	280
765	914	279
766	919	279
767	920	278
768	921	276
769	923	275
770	923	274
771	924	273
772	925	271
773	929	271
774	931	270
775	933	269
776	934	268
777	935	266
778	936	265
779	937	264
780	939	263
781	940	262
782	941	260
783	944	260
784	947	259
785	948	258
786	950	257
787	951	255
788	952	254
789	953	253
790	954	252
791	955	250
792	956	249
793	958	248
794	960	247
795	962	246
796	963	245
797	965	244
798	966	243
799	967	241
800	968	240
801	969	239
802	969	237
803	972	237
804	975	236
805	980	236
806	982	234
807	983	233
808	984	232
809	985	231
810	986	229
811	988	228
812	989	227
813	991	226
814	994	225
815	995	224
816	996	223
817	997	221
818	998	220
819	998	219
820	999	217
821	1000	216
822	1001	215
823	1003	214
824	1006	213
825	1007	212
826	1008	211
827	1009	209
828	1010	208
829	1011	207
830	1012	205
831	1013	204
832	1014	203
833	1015	202
834	1015	200
835	1016	199
836	1018	198
837	1024	198
838	1027	197
839	1029	196
840	1030	194
841	1032	193
842	1037	193
843	1038	191
844	1039	190
845	1040	189
846	1041	188
847	1042	186
848	1043	185
849	1044	184
850	1045	183
851	1046	181
852	1047	180
853	1048	179
854	1053	178
855	1054	177
856	1056	176
857	1056	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1062	167
864	1063	165
865	1064	164
866	1066	163
867	1067	162
868	1070	161
869	1071	160
870	1072	158
871	1073	157
872	1074	156
873	1076	155
874	1078	154
875	1081	153
876	1083	151
877	1084	150
878	1085	149
879	1086	148
880	1087	146
881	1087	145
882	1088	144
883	1089	142
884	1090	141
885	1091	140
886	1091	139
887	1092	137
888	1093	136
889	1094	135
890	1096	134
891	1097	132
892	1098	131
893	1098	130
894	1099	128
895	1100	127
896	1101	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1105	120
902	1106	118
903	1106	117
904	1108	116
905	1109	115
906	1110	113
907	1111	112
908	1112	111
909	1113	110
910	1114	108
911	1114	107
912	1115	106
913	1116	105
914	1116	103
915	1117	102
916	1118	101
917	1119	99
918	1119	98
919	1120	97
920	1121	96
921	1122	94
922	1124	93
923	1125	92
924	1127	91
925	1127	90
926	1128	88
927	1129	87
928	1130	86
929	1130	85
930	1131	83
931	1132	82
932	1133	81
933	1134	80
934	1134	78
935	1135	77
936	1136	76
937	1137	75
938	1138	73
939	1140	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1145	65
946	1146	64
947	1147	62
948	1148	61
949	1149	60
950	1149	59
951	1150	58
952	1151	56
953	1152	55
954	1153	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1161	44
963	1162	43
964	1163	42
965	1164	40
966	1164	39
967	1165	38
968	1165	37
969	1166	36
970	1167	34
971	1168	33
972	1169	32
973	1171	31
974	1172	30
975	1173	28
976	1173	27
977	1174	26
